TYPE,DETAIL,NOM,SURFACE,ECLAIRAGE,OBJECTID,x,y
Jeu modulaire,2-12 ans,NA,NA,NA,611,-7996546.98775876,5685849.09566916
Jeu modulaire,2-5 ans,NA,NA,NA,612,-7995688.4462674,5686788.62026154
Jeu modulaire,2-5 ans,NA,NA,NA,613,-7998536.12689513,5689609.74207373
Jeu modulaire,5-12 ans,NA,NA,NA,614,-7998533.46825878,5689591.08607546
Jeu modulaire,5-12 ans,NA,NA,NA,615,-8012990.12042963,5683379.06183442
Jeu modulaire,2-5 ans,NA,NA,NA,616,-8012969.17748852,5683390.14450362
Jeu modulaire,2-12 ans,NA,NA,NA,617,-7999765.57596548,5687350.00654352
Jeu modulaire,5-12 ans,NA,NA,NA,618,-8002982.35177236,5680667.99750769
Jeu modulaire,2-5 ans,NA,NA,NA,619,-8002965.08709493,5680613.78598178
Jeu modulaire,2-12 ans,NA,NA,NA,620,-8001637.02676568,5687989.86314393
Jeu modulaire,2-5 ans,NA,NA,NA,621,-8004430.0514224,5682671.82401096
Jeu modulaire,2-12 ans,NA,NA,NA,622,-8007442.19769822,5682807.4536050605
Jeu modulaire,2-5 ans,NA,NA,NA,623,-8002521.12126123,5682335.73250105
Jeu modulaire,5-12 ans,NA,NA,NA,624,-8002537.70808164,5682318.31614442
Jeu modulaire,5-12 ans,NA,NA,NA,625,-8011997.41106039,5682376.10756896
Jeu modulaire,2-5 ans,NA,NA,NA,626,-8012038.31591032,5682385.48847055
Jeu modulaire,5-12 ans,NA,NA,NA,627,-8006989.32290712,5683849.00915975
Jeu modulaire,2-12 ans,NA,NA,NA,628,-8010187.31110017,5686670.33363187
Jeu modulaire,5-12 ans,NA,NA,NA,629,-8008513.93951229,5695707.91760735
Jeu modulaire,5-12 ans,NA,NA,NA,630,-8016346.05247575,5683363.0447287
Jeu modulaire,5-12 ans,NA,NA,NA,631,-8003345.83144774,5682874.92946481
Jeu modulaire,5-12 ans,NA,NA,NA,632,-8002204.21589728,5683378.28509265
Jeu modulaire,2-5 ans,NA,NA,NA,633,-8008863.68783947,5696194.06942127
Jeu modulaire,5-12 ans,NA,NA,NA,634,-8016321.93854637,5683390.50107738
Jeu modulaire,2-5 ans,NA,NA,NA,635,-8016330.53349308,5683403.82710925
Jeu modulaire,2-5 ans,NA,NA,NA,636,-7999473.49728743,5679863.58631779
Jeu modulaire,2-5 ans,NA,NA,NA,637,-7999465.90607019,5679872.33576913
Jeu modulaire,2-5 ans,NA,NA,NA,638,-7999463.88881869,5679867.86020191
Jeu modulaire,2-12 ans,NA,NA,NA,639,-7996845.36400083,5688321.51230007
Jeu modulaire,2-5 ans,NA,NA,NA,640,-8001564.91505805,5685008.05349697
Jeu modulaire,5-12 ans,NA,NA,NA,641,-8001544.20804713,5688878.04669799
Jeu modulaire,2-12 ans,NA,NA,NA,642,-8010637.83095195,5679129.76556557
Jeu modulaire,2-5 ans,NA,NA,NA,643,-8015873.69658552,5684528.30846086
Jeu modulaire,2-5 ans,NA,NA,NA,644,-8013769.38263652,5682821.5871876
Jeu modulaire,5-12 ans,NA,NA,NA,645,-8015828.07069353,5684512.92593778
Jeu modulaire,2-5 ans,NA,NA,NA,646,-8001468.68321763,5687253.85358744
Jeu modulaire,2-5 ans,NA,NA,NA,647,-8007115.07992101,5684307.60574737
Jeu modulaire,5-12 ans,NA,NA,NA,648,-8007120.87340454,5684311.08263951
Jeu modulaire,2-12 ans,NA,NA,NA,649,-8003481.67000386,5689593.68727467
Jeu modulaire,5-12 ans,NA,NA,NA,650,-8012144.76957311,5680517.39570898
Jeu modulaire,5-12 ans,NA,NA,NA,651,-8013325.84395111,5681649.36997616
Jeu modulaire,2-5 ans,NA,NA,NA,652,-8013319.25430676,5681636.01261309
Jeu modulaire,2-5 ans,NA,NA,NA,653,-8014885.13567079,5682944.63686605
Jeu modulaire,5-12 ans,NA,NA,NA,654,-8014877.02396187,5682928.87951568
Jeu modulaire,2-12 ans,NA,NA,NA,655,-8019643.44016607,5683569.44345242
Jeu modulaire,2-12 ans,NA,NA,NA,656,-8020860.67833185,5680209.26676814
Jeu modulaire,2-12 ans,NA,NA,NA,657,-8009619.85727197,5684601.02204505
Jeu modulaire,5-12 ans,NA,NA,NA,658,-8007988.83106133,5684672.69175421
Jeu modulaire,2-12 ans,NA,NA,NA,659,-8005794.19905405,5692917.09902184
Jeu modulaire,2-5 ans,NA,NA,NA,660,-8005804.40502825,5692910.83501821
Jeu modulaire,5-12 ans,NA,NA,NA,661,-7995664.38886394,5686782.61307667
Jeu modulaire,2-5 ans,NA,NA,NA,662,-8015206.4023253,5674909.32080197
Jeu modulaire,5-12 ans,NA,NA,NA,663,-8013996.83261566,5674115.65622321
Jeu modulaire,5-12 ans,NA,NA,NA,664,-8019306.78547686,5676096.85031239
Jeu modulaire,2-5 ans,NA,NA,NA,665,-8019314.72776414,5676076.85066234
Jeu modulaire,5-12 ans,NA,NA,NA,666,-8019333.93586687,5676048.38765892
Jeu modulaire,2-12 ans,NA,NA,NA,667,-8001958.16092782,5682322.77333565
Jeu modulaire,5-12 ans,NA,NA,NA,668,-8017704.65922565,5674491.9435678
Jeu modulaire,2-5 ans,NA,NA,NA,669,-8017687.25175222,5674462.10557411
Jeu modulaire,2-5 ans,NA,NA,NA,670,-8014782.13486532,5677559.38158803
Jeu modulaire,5-12 ans,NA,NA,NA,671,-8015008.28359036,5679688.27913129
Jeu modulaire,2-5 ans,NA,NA,NA,672,-8015004.76150258,5679705.97081759
Jeu modulaire,2-5 ans,NA,NA,NA,673,-8014727.45269834,5678479.14236995
Jeu modulaire,2-12 ans,NA,NA,NA,674,-8005577.29860987,5688092.18642414
Jeu modulaire,2-5 ans,NA,NA,NA,675,-8012144.17469519,5680501.33098172
Jeu modulaire,5-12 ans,NA,NA,NA,676,-7994235.35224934,5678664.54414388
Jeu modulaire,2-5 ans,NA,NA,NA,677,-8009989.71363149,5680305.3080886
Jeu modulaire,5-12 ans,NA,NA,NA,678,-8010016.38427988,5680273.94817087
Jeu modulaire,2-5 ans,NA,NA,NA,679,-8017570.50529047,5670590.04593404
Jeu modulaire,2-5 ans,NA,NA,NA,680,-7999828.71811689,5680526.73500245
Jeu modulaire,2-5 ans,NA,NA,NA,681,-7998754.92164523,5681029.15890403
Jeu modulaire,5-12 ans,NA,NA,NA,682,-7998752.86724344,5681016.43503531
Jeu modulaire,5-12 ans,NA,NA,NA,683,-8013775.73266613,5682840.76949387
Jeu modulaire,2-5 ans,NA,NA,NA,684,-8003584.50872578,5680229.60629025
Jeu modulaire,2-5 ans,NA,NA,NA,685,-8008481.70554472,5695687.39062746
Jeu modulaire,2-12 ans,NA,NA,NA,686,-8009172.48043588,5698050.4954668
Jeu modulaire,2-5 ans,NA,NA,NA,687,-8009186.62208732,5698016.6896461
Jeu modulaire,2-5 ans,NA,NA,NA,688,-8005462.38226819,5687261.55647772
Jeu modulaire,5-12 ans,NA,NA,NA,689,-8005468.90760882,5687267.99224551
Jeu modulaire,2-5 ans,NA,NA,NA,690,-8005786.56032076,5683828.74591061
Jeu modulaire,5-12 ans,NA,NA,NA,691,-7998934.64737954,5686935.94176145
Jeu modulaire,2-5 ans,NA,NA,NA,692,-7998926.45601313,5686955.4431469
Jeu modulaire,2-5 ans,NA,NA,NA,693,-7997699.39163669,5688226.52265767
Jeu modulaire,5-12 ans,NA,NA,NA,694,-7997716.6068252,5688218.11087239
Jeu modulaire,2-12 ans,NA,NA,NA,695,-8004288.60548243,5685022.22509395
Jeu modulaire,2-5 ans,NA,NA,NA,696,-8000994.77540794,5686714.28487405
Jeu modulaire,2-5 ans,NA,NA,NA,697,-8000556.98519631,5683592.3678485
Jeu modulaire,2-5 ans,NA,NA,NA,698,-8012017.33513575,5682382.49537067
Jeu modulaire,2-12 ans,NA,NA,NA,699,-8006937.25792254,5683867.2214004
Jeu modulaire,2-5 ans,NA,NA,NA,700,-8012022.59265428,5682377.90963085
Jeu modulaire,5-12 ans,NA,NA,NA,701,-8003086.61152498,5689526.13295042
Tir à l'arc,NA,NA,NA,NA,702,-8004908.84595505,5681314.67123937
Pétanque,NA,NA,NA,NA,703,-8009270.03511191,5686433.76715988
Jeu de galets,NA,NA,NA,NA,704,-8009248.14208644,5686468.18813595
Pétanque,NA,NA,NA,NA,705,-7998320.35949618,5685996.81994693
Jeu de galets,NA,NA,NA,NA,706,-7998308.04555015,5686060.72717976
Planche à roulettes,NA,NA,NA,NA,707,-8009256.60966804,5696658.09953306
Préau et plancher de danse,NA,NA,NA,NA,708,-8005749.7120385,5684297.41995479
Pétanque,NA,NA,NA,NA,709,-8008552.67210275,5695659.41336924
Jeu de galets,NA,NA,NA,NA,710,-8008564.48216928,5695637.16037191
Préau et plancher de danse,NA,NA,NA,NA,711,-8008531.16590839,5695649.86652062
Préau et plancher de danse,NA,NA,NA,NA,712,-8013190.28577081,5681691.2870204
Pétanque,NA,NA,NA,NA,713,-8013279.24086681,5681753.01422889
Patinoire à bandes mobiles,NA,NA,Gazon,NA,714,-8007960.05470576,5684563.53039171
"Surface, anneau ou étang glacé",NA,NA,NA,NA,715,-8007960.39946455,5684594.84315623
Jeu de galets,NA,NA,NA,NA,716,-8005843.47870079,5683879.07179144
Pétanque,NA,NA,NA,NA,717,-8004917.13644191,5684897.67724976
Pétanque,NA,NA,NA,NA,718,-8004910.58616497,5684934.32955378
Jeu de galets,NA,NA,NA,NA,719,-8017508.6539725,5670613.00402846
Jeu de galets,NA,NA,NA,NA,720,-8003057.17943511,5684161.39644679
Planche à roulettes,NA,NA,NA,NA,721,-8002997.90880319,5680618.09914795
Patinoire à bandes fixes,NA,NA,NA,NA,722,-8003192.35785065,5683929.87523177
Pétanque,NA,NA,NA,NA,723,-8001608.02542881,5684955.34650426
Jeu de galets,NA,NA,NA,NA,724,-8002519.42289354,5682410.60708213
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,725,-8012041.67941889,5680519.62783745
Patinoire à bandes mobiles,NA,NA,Gazon,NA,726,-8012016.47789084,5680517.49566861
Patinoire à bandes mobiles,NA,NA,Asphalte,NA,727,-8013111.87467521,5681565.03862696
"Surface, anneau ou étang glacé",NA,NA,NA,NA,728,-8012103.64119986,5682382.25821576
Patinoire à bandes mobiles,NA,NA,Poussière,NA,729,-8013059.60215613,5683395.88323148
"Surface, anneau ou étang glacé",NA,NA,NA,NA,730,-8013074.61816277,5683410.21363239
Plage,NA,NA,NA,NA,731,-8006909.81815249,5683932.49935673
Patinoire à bandes mobiles,NA,NA,Gazon,NA,732,-8009237.70818534,5682850.82641513
"Surface, anneau ou étang glacé",NA,NA,NA,NA,733,-8009240.09693547,5682789.31848004
Pétanque,NA,NA,NA,NA,734,-8003048.67694911,5680685.20710994
Jeu d'eau,NA,NA,NA,NA,735,-8003006.57832917,5680715.5596424
Préau et plancher de danse,NA,NA,NA,NA,736,-8003051.7247308,5680716.96137961
Patinoire à bandes mobiles,NA,NA,Poussière,NA,737,-8014236.91965432,5674211.03364389
Patinoire à bandes mobiles,NA,NA,Poussière,NA,738,-8014284.91859333,5674207.05292511
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,739,-8014275.31733029,5674231.83530402
Planche à roulettes,NA,NA,NA,NA,740,-8019255.38596616,5676038.08959624
Pétanque,NA,NA,NA,NA,741,-8019369.88201725,5676028.10561897
Plage,NA,NA,NA,NA,742,-8017766.85876133,5674391.01211796
"Surface, anneau ou étang glacé",NA,NA,NA,NA,743,-8014996.45890703,5677757.90526061
Patinoire à bandes fixes,NA,NA,Asphalte,NA,744,-8015004.30246659,5677640.80344372
Jeu de galets,NA,NA,NA,NA,745,-8015054.74317938,5677741.63396305
Préau et plancher de danse,NA,NA,NA,NA,746,-8015854.71297692,5684524.56603315
"Surface, anneau ou étang glacé",NA,NA,NA,NA,747,-8015790.96464022,5684562.74234822
Piste multifonctionnelle,NA,NA,NA,NA,748,-8000666.56147385,5683570.94013221
Planche à roulettes,NA,NA,NA,NA,749,-7998597.7063646,5679604.1454403
Pétanque,NA,NA,NA,NA,750,-8002633.38159301,5685765.40996962
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,751,-8002647.9710839,5685769.05570324
Jeu de galets,NA,NA,NA,NA,752,-8000302.54711232,5685437.59949629
Planche à roulettes,NA,NA,NA,NA,753,-7998256.89714071,5685746.78378267
Pétanque,NA,NA,Poussière,NA,754,-8001004.46572524,5686752.37160399
Jeu de galets,NA,NA,NA,NA,755,-8001091.55976074,5686816.59963603
Préau et plancher de danse,NA,NA,NA,NA,756,-8002745.89329822,5687187.68592132
Pétanque,NA,NA,NA,NA,757,-8002741.42742219,5687151.32681071
Jeu de galets,NA,NA,NA,NA,758,-8002704.98844214,5687147.04294777
Jeu de galets,NA,NA,NA,NA,759,-8002790.62271846,5687231.13633696
Jeu de galets,NA,NA,NA,NA,760,-8002820.41491519,5687226.70622831
Planche à roulettes,NA,NA,NA,NA,761,-8008836.58498693,5681675.61490378
Planche à roulettes,NA,NA,NA,NA,762,-8001637.31392112,5683963.25979646
Jeu de galets,NA,NA,NA,NA,763,-7999860.25267053,5688700.07414368
Glissade sur tube,NA,NA,NA,NA,764,-8004817.40659157,5682089.17526738
Glissade sur tube,NA,NA,NA,NA,765,-8014031.58993403,5674090.19514315
Jeu de galets,NA,NA,NA,NA,766,-8005466.42027918,5686957.13864673
Pétanque,NA,NA,NA,NA,767,-8005494.64829234,5686966.24554298
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,768,-8010260.85047644,5686768.44551134
Patinoire à bandes mobiles,NA,NA,Poussière,NA,769,-8010281.84435205,5686770.43616401
Piste multifonctionnelle,NA,NA,NA,NA,770,-8003961.5134037,5685614.92693183
"Surface, anneau ou étang glacé",NA,NA,NA,NA,771,-8009365.94945737,5686352.39859072
Piste multifonctionnelle,NA,NA,NA,NA,772,-8009372.21658267,5686350.59355304
Jeu d'eau,NA,NA,NA,NA,773,-8007966.56656696,5684635.88133722
Planche à roulettes,NA,NA,NA,NA,774,-8013124.52186686,5681566.17346159
Préau et plancher de danse,NA,NA,NA,NA,775,-7999495.18050774,5679840.83631766
Préau et plancher de danse,NA,NA,NA,NA,776,-7998821.47018792,5689640.06949892
"Surface, anneau ou étang glacé",NA,NA,NA,NA,777,-7999318.97248589,5679940.11625297
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,778,-8005578.11576056,5687189.3710078
Piste multifonctionnelle,NA,NA,NA,NA,779,-8006688.02836965,5684858.72093719
Planche à roulettes,NA,NA,NA,NA,780,-8006639.51794736,5685084.71883532
Préau et plancher de danse,NA,NA,NA,NA,781,-8006675.44454788,5685157.82161741
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,782,-8010662.35439756,5679063.0567618
Patinoire à bandes mobiles,NA,NA,Gazon,NA,783,-8010647.79307922,5679041.34550718
"Surface, anneau ou étang glacé",NA,NA,NA,NA,784,-8004360.80803238,5682807.99722173
Patinoire à bandes mobiles,NA,NA,Gazon,NA,785,-8004416.84066461,5682854.6868222
"Surface, anneau ou étang glacé",NA,NA,NA,NA,786,-8002822.28355818,5680665.96158138
Patinoire à bandes mobiles,NA,NA,Poussière,NA,787,-8000533.66896268,5683677.19203669
"Surface, anneau ou étang glacé",NA,NA,NA,NA,788,-8000056.07105125,5684971.78414908
Patinoire à bandes mobiles,NA,NA,NA,NA,789,-7998337.81873312,5685726.2816093
"Surface, anneau ou étang glacé",NA,NA,NA,NA,790,-7998368.07169579,5685785.3916678
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,791,-7999720.38592672,5687306.87387796
Patinoire à bandes mobiles,NA,NA,Poussière,NA,792,-7999646.8236613,5687292.73700861
"Surface, anneau ou étang glacé",NA,NA,NA,NA,793,-7999826.84804773,5688639.47995078
Patinoire à bandes mobiles,NA,NA,Poussière,NA,794,-7999866.21289819,5688621.96973175
Patinoire à bandes fixes,NA,NA,Asphalte,NA,795,-8001430.11050655,5688779.55453037
Patinoire à bandes mobiles,NA,NA,Gazon,NA,796,-8005601.26761047,5687068.35532827
Patinoire à bandes fixes,NA,NA,Asphalte,NA,797,-8005518.26005668,5687121.67914718
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,798,-8003172.86913612,5689606.09233555
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,799,-8005750.68786265,5692954.89963053
Patinoire à bandes mobiles,NA,NA,Poussière,NA,800,-8005747.77389056,5692929.51592016
Piste multifonctionnelle,NA,NA,NA,NA,801,-8008397.99056653,5695547.99176354
"Surface, anneau ou étang glacé",NA,NA,NA,NA,802,-8009223.60086016,5697987.75964956
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,803,-8001487.66220605,5688807.06438649
Patinoire à bandes mobiles,NA,NA,Gazon,NA,804,-8001055.53227245,5686730.86932193
Patinoire à bandes mobiles,NA,NA,Gazon,NA,805,-8001100.35372373,5686733.07456444
Patinoire à bandes mobiles,NA,NA,Gazon,NA,806,-8004434.8978366,5682800.77124678
"Surface, anneau ou étang glacé",NA,NA,NA,NA,807,-8013098.57026644,5681615.59311
Patinoire à bandes fixes,NA,NA,Poussière,NA,808,-8012175.64756509,5682422.34923911
Planche à roulettes,NA,NA,NA,NA,809,-8016273.25512768,5683272.22275574
Patinoire à bandes mobiles,NA,NA,Poussière,NA,810,-8019562.12032774,5683650.69296505
"Surface, anneau ou étang glacé",NA,NA,NA,NA,811,-8019597.15363273,5683554.54493844
"Surface, anneau ou étang glacé",NA,NA,NA,NA,812,-8019456.4739159,5675966.3116074
"Surface, anneau ou étang glacé",NA,NA,NA,NA,813,-8004804.7923924,5684979.53043259
"Surface, anneau ou étang glacé",NA,NA,NA,NA,814,-7996475.71346742,5685902.48342757
"Surface, anneau ou étang glacé",NA,NA,NA,NA,815,-8008405.02082432,5695730.63199123
Patinoire à bandes fixes,NA,NA,Asphalte,NA,816,-8008471.1162983,5695746.60685968
Patinoire à bandes fixes,NA,NA,Asphalte,NA,817,-8015817.94268613,5684594.79037614
Jeu d'eau,NA,NA,NA,NA,818,-7999705.71193224,5687304.23748609
Patinoire à bandes mobiles,NA,NA,Poussière,NA,819,-8000045.39961015,5685016.04663657
Patinoire à bandes mobiles,NA,NA,Poussière,NA,820,-8019477.95470895,5676014.22418186
Jeu de fers,NA,NA,NA,NA,821,-8002634.87414395,5685769.45523217
Jeu de fers,NA,NA,NA,NA,822,-7999643.84752433,5687283.96301819
Jeu d'eau,NA,NA,NA,NA,823,-8000048.51014152,5685099.88771508
Pétanque,NA,NA,Poussière,NA,824,-8015046.56616596,5677737.84187628
Pétanque,NA,NA,Poussière,NA,825,-8015066.41289617,5677781.741953
Patinoire à bandes mobiles,NA,NA,Poussière,NA,826,-8009206.84030822,5697940.99357625
Patinoire à bandes fixes,NA,NA,Asphalte,NA,827,-7996482.38832544,5685762.28974744
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,828,-8001112.77530596,5686836.95525908
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,829,-8003172.19602353,5683904.13232011
Patinoire à bandes fixes,NA,NA,Asphalte,NA,830,-8007570.2498781,5682904.29356573
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,831,-8007571.26202544,5682840.11715815
"Surface, anneau ou étang glacé",NA,NA,NA,NA,832,-8000500.27703395,5683678.81445131
Jeu d'eau,NA,NA,NA,NA,833,-8002557.36583938,5687006.65769774
Patinoire à bandes fixes,NA,NA,Asphalte,NA,834,-8002827.92045129,5680710.17574565
Préau et plancher de danse,NA,NA,NA,NA,835,-8010266.91868387,5686736.42255569
Pétanque,NA,NA,Poussière,NA,836,-8015914.20816075,5684575.16459956
Patinoire à bandes mobiles,NA,NA,Poussière,NA,837,-7998712.41236547,5681061.20369977
"Surface, anneau ou étang glacé",NA,NA,NA,NA,838,-7998747.42603787,5681069.69356596
Piscine,NA,Piscine de la Claire-Fontaine du parc Victoria,NA,NA,839,-8002591.16589029,5687049.80224924
Piscine,NA,Piscine du parc des Optimistes,NA,NA,840,-8001519.23520867,5687256.90758708
Piscine,NA,Piscine du parc de Saint-Alphonse-de-Liguori,NA,NA,841,-8005508.59454816,5687072.64449443
Piscine,NA,Piscine du parc de Ma-Villa,NA,NA,842,-8015851.83999166,5684668.79677061
Piscine,NA,Piscine du parc Central,NA,NA,843,-8014822.15575743,5677469.08687376
Piscine,NA,Piscine du parc de Mi-Vallon,NA,NA,844,-8013121.17359564,5681627.32720315
Piscine,NA,Piscine du parc Centennial,NA,NA,845,-7999434.49961419,5679880.95358218
Piscine,NA,Piscine du parc Alfred-Élie-Dufresne,NA,NA,846,-8003064.11767096,5683983.09990182
Piscine,NA,Piscine Sangster,NA,NA,847,-8004341.51115227,5682738.64668757
Piscine,NA,Piscine du parc Paul-Marin,NA,NA,848,-8007449.36704588,5682870.30675402
Piscine,NA,Piscine Montcalm,NA,NA,849,-8006545.68290663,5685145.77509685
Piscine,NA,Piscine du parc Nault,NA,NA,850,-8008433.04547897,5695798.34158309
Aréna,NA,Centre Julien-Ducharme (Aréna),NA,NA,851,-7998694.82675348,5689743.03623911
Aréna,NA,Aréna Eugène-Lalonde,NA,NA,852,-8001939.12330801,5686890.81007458
Aréna,NA,Aréna Ivan-Dugré,NA,NA,853,-8004610.22094947,5682885.4824026
Aréna,NA,Complexe sportif Forage FTE (Aréna),NA,NA,854,-8013950.96858431,5679661.92904352
Aréna,NA,Aréna Philippe-Bergeron,NA,NA,855,-8009680.65744997,5696535.91607066
Aréna,NA,Aréna Jane et Eric Molson de l'Université Bishop's,NA,NA,856,-7997442.24769077,5678954.11596762
Aréna,NA,Complexe sportif Thibault GM,NA,NA,857,-8009007.51439483,5681547.41549305
Aréna,NA,Aréna Collège Bishop (BCS),NA,NA,858,-7997311.89814002,5680245.07661988
Aréna,NA,Aréna Mont-Sainte-Anne,NA,NA,859,-8007518.49659782,5679882.12488249
