periode,categorie_produit,motif,secteur,ville_siege_social
2026-07,10140-Autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de motocyclettes et de motoneiges,Québec
2026-07,10090-Articles électroniques,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de téléviseurs  de postes de radio et d'a,Vancouver
2026-07,99000-Autres (précisez),Mésentente avant l’achat liée au prix / au tarif,NA,NA
2026-07,13030-Services de téléphonie mobile,Problème de facturation ou de recouvrement de créance,Autres services,Toronto
2026-07,10040-Meubles,Qualité des biens et services,NA,NA
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Mésentente liée au contrat conclu,Concessionnaires d'automobiles d'occasion//Garages (réparations générales),Sainte-Catherine
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Agences de recouvrement//Autres services aux entreprises,TROIS-RIVIÈRES (QUÉBEC)
2026-07,10070-Appareils de chauffage et de climatisation,Mésentente liée au contrat conclu,Aucune,Montréal
2026-07,10040-Meubles,Qualité des biens et services,Commerce de détail de meubles de maison (avec appareils ména//Autres services,Victoriaville
2026-07,10110-Articles de loisirs,Mésentente liée au contrat conclu,Autres services,Montréal
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Autres services de réparation,Sainte-Claire
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Rénovation de bâtiments résidentiels,Saint-Hubert
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail d'objets d'art et d'artisanat  de cadeaux//Autres types de commerce de détail,Laval
2026-07,10060-Gros appareils ménagers,Service à la clientèle / Absence de livraison / Non conformité,Autres services aux entreprises,Laval
2026-07,12090-Recouvrement de créances,Pratique trompeuse ou déloyale,Agences de recouvrement,Toronto
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Longueuil
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de gros de meubles de maison,Saint-Hyacinthe
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur,Montréal
2026-07,10090-Articles électroniques,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Qualité des biens et services,Travaux d'asphaltage,Longueuil
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Autres travaux de finition à l'extérieur,Gatineau
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,NA,NA
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Services de désinfection et d'extermination,Longueuil
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Agences de recouvrement,Montréal
2026-07,10140-Autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Autres services relatifs aux transports//Autres services de réparation,Beauharnois
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Montréal
2026-07,10100-Articles des TIC (Technologies de l'information et de la communication),Pratique trompeuse ou déloyale,Commerce de gros de machines  matériel et fournitures de bur//Autres types de commerce de gros de machines  matériel et fo,Vancouver
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Qualité des biens et services,Autres types de commerce de détail,Saint-Eustache
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Qualité des biens et services,Autres travaux de finition à l'extérieur,Mirabel
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Sociétés de prêts à la consommation,Oakville
2026-07,10120-Automobiles neuves,Qualité des biens et services,Autres types de commerce de gros,MARKHAM (ONTARIO)
2026-07,10170-Animaux et articles connexes,Mésentente avant l’achat liée au prix / au tarif,Autres types de commerce de détail,Montréal
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants avec permis d'alcool,Montréal
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail d'appareils ménagers  de téléviseurs  de//Ateliers de réparation d'appareils ménagers,Québec
2026-07,10080-Petits appareils électroménagers,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de gros de matériaux de constructio//Quincailleries,Boucherville
2026-07,10080-Petits appareils électroménagers,Mésentente avant l’achat liée au prix / au tarif,Magasins à rayons,ST. PURDY'S WHARF TOWER II
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants avec permis d'alcool,Sherbrooke
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Parcs et garages de stationnement,Vimont
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Sociétés de portefeuille (holdings)//Autres services aux entreprises,Québec
2026-07,10140-Autres moyens de transport,Qualité des biens et services,Concessionnaires d'automobiles d'occasion//Commerce de détail de roulottes motorisées et de roulottes d,Saint-Eustache
2026-07,12990-Autres services financiers (lequel?),Service à la clientèle / Absence de livraison / Non conformité,Autres services de comptabilité et de tenue de livres//Bureaux de conseillers en gestion,NA
2026-07,10010-Aliments/Boissons/Tabac,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de gros de produits alimentaires//Supermarchés d'alimentation,TORONTO
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Rénovation de bâtiments résidentiels,Saint-Hubert
2026-07,10040-Meubles,Qualité des biens et services,Commerce de détail de meubles de maison (avec appareils ména,Laval
2026-07,10060-Gros appareils ménagers,Service à la clientèle / Absence de livraison / Non conformité,Magasins généraux//Exploitants de bâtiments non résidentiels,OTTAWA (ONTARIO)
2026-07,11090-Entretien et réparation de biens (autres qu'un véhicule),Qualité des biens et services,Autres services relatifs aux bâtiments et aux habitations,Québec
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Services de désinfection et d'extermination,Montréal
2026-07,10110-Articles de loisirs,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail d'objets d'art et d'artisanat  de cadeaux//Autres services de divertissement et de loisirs,Beauharnois
2026-07,11030-Déménagement  entreposage et livraison,Service à la clientèle / Absence de livraison / Non conformité,Déménagement et entreposage de biens usagés//Exploitants de bâtiments résidentiels et de logements,Québec
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres services,Montréal
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Autres types de commerce de gros de matériaux de constructio//Quincailleries,Boucherville
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Parcs et garages de stationnement,Vimont
2026-07,15020-Voyages à forfait,Service à la clientèle / Absence de livraison / Non conformité,Agences de voyages et de vente de billets,Québec
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation d'équipements de réfrigération commerciale,Prévost
2026-07,10060-Gros appareils ménagers,Mésentente avant l’achat liée au prix / au tarif,Commerce de détail de téléviseurs  de postes de radio et d'a,Vancouver
2026-07,10010-Aliments/Boissons/Tabac,Mésentente avant l’achat liée au prix / au tarif,Garages (réparations générales)//Magasins à rayons,Laval
2026-07,10010-Aliments/Boissons/Tabac,Mésentente liée au contrat conclu,Supermarchés d'alimentation,Montréal
2026-07,11090-Entretien et réparation de biens (autres qu'un véhicule),Mésentente liée au contrat conclu,Services de conciergerie et d'entretien,Magog
2026-07,18020-Cours de langue  leçons de conduite  cours relatifs aux sports  aux loisirs et autres passe-temps,Mésentente liée au contrat conclu,Autres travaux spécialisés,Marieville
2026-07,10010-Aliments/Boissons/Tabac,Service à la clientèle / Absence de livraison / Non conformité,Autres industries de produits alimentaires,Vancouver
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Mésentente liée au contrat conclu,Concessionnaires d'automobiles d'occasion//Garages (réparations générales),Montréal
2026-07,10020-Vêtements  bijoux et accessoires,Pratique trompeuse ou déloyale,Autres magasins de marchandises diverses,Montréal
2026-07,11030-Déménagement  entreposage et livraison,Service à la clientèle / Absence de livraison / Non conformité,Camionnage de marchandises ordinaires//Déménagement et entreposage de biens usagés,Québec
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Autres ateliers de réparation de véhicules automobiles//Autres types de commerce de détail pour véhicules automobile,Granby
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Promotion et construction de maisons individuelles//Rénovation de bâtiments résidentiels,Montréal
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Mésentente liée au contrat conclu,Bâtiments commerciaux//Installation de systèmes de chauffage par fluide caloporteur,Boucherville
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Vaudreuil-Dorion
2026-07,13070-Services de télésurveillance,Service à la clientèle / Absence de livraison / Non conformité,Travaux d'électricité,Winnipeg
2026-07,10110-Articles de loisirs,Service à la clientèle / Absence de livraison / Non conformité,Entreprises de vente directe,SAINT-JEAN-SUR-RICHELIEU
2026-07,14040-Services de location d’un transport à court terme,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion//Services de location d'automobiles et de camions,Mississauga
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de gros d'appareils ménagers électriques//Commerce de gros d'appareils ménagers électroniques,Vancouver
2026-07,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles d'occasion,Sherbrooke
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de gros de matériel et fournitures de plomberie  de,Boucherville
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Garages (réparations générales),Mirabel
2026-07,10150-Pièces de rechange  accessoires et carburants pour moyens de transports,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,NA,NA
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de détail de meubles de maison (avec appareils ména//Autres services,Victoriaville
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de détail de véhicules de loisir//Autres types de commerce de détail,Longueuil
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Val-d'Or
2026-07,15050-Services liés aux sports  aux loisirs  à la culture et au conditionnement physique,Pratique trompeuse ou déloyale,Autres services de divertissement et de loisirs,Saint-Calixte
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Autres magasins de marchandises diverses,Mont-Royal
2026-07,10090-Articles électroniques,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,15040-Restaurants et bars,Service à la clientèle / Absence de livraison / Non conformité,Autres services aux entreprises,Toronto
2026-07,15020-Voyages à forfait,Problème de facturation ou de recouvrement de créance,Agences de voyages et de vente de billets,Saint-Jérôme
2026-07,11030-Déménagement  entreposage et livraison,Pratique trompeuse ou déloyale,NA,NA
2026-07,15040-Restaurants et bars,Problème de facturation ou de recouvrement de créance,Restaurants sans permis d'alcool,Montréal
2026-07,10140-Autres moyens de transport,Qualité des biens et services,Autres types de commerce de gros de véhicules automobiles,Thurso
2026-07,14040-Services de location d’un transport à court terme,Service à la clientèle / Absence de livraison / Non conformité,Services de location d'automobiles et de camions,Halifax
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres types de commerce de machines  matériel et fourniture,North York
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Qualité des biens et services,Ateliers de peinture et de carrosserie,Québec
2026-07,11050-Soins corporels et d’esthétique,Mésentente liée au contrat conclu,Salons de beauté pour femmes,Montréal
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Gatineau
2026-07,11030-Déménagement  entreposage et livraison,Pratique trompeuse ou déloyale,Déménagement et entreposage de biens usagés,Gatineau
2026-07,15050-Services liés aux sports  aux loisirs  à la culture et au conditionnement physique,Service à la clientèle / Absence de livraison / Non conformité,Autres clubs sportifs et services de loisirs,Blainville
2026-07,10110-Articles de loisirs,Qualité des biens et services,Autres types de commerce de détail,Montréal
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Magasins à rayons,Montréal
2026-07,11120-Services de garde,Service à la clientèle / Absence de livraison / Non conformité,Garderies pour enfants,Longueuil
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves,Brossard
2026-07,15010-Hôtels et autres hébergements touristiques,Pratique trompeuse ou déloyale,Autres exploitants immobiliers,Rouyn-Noranda
2026-07,11030-Déménagement  entreposage et livraison,Service à la clientèle / Absence de livraison / Non conformité,Services aux commerces transitaires//Autres services d'entreposage,Salaberry-de-Valleyfield
2026-07,10110-Articles de loisirs,Qualité des biens et services,Commerce de détail de téléviseurs  de postes de radio et d'a,Vancouver
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Industrie des véhicules automobiles,MONTRÉAL (QUÉBEC)
2026-07,10090-Articles électroniques,Pratique trompeuse ou déloyale,Magasins à rayons,ST. PURDY'S WHARF TOWER II
2026-07,10090-Articles électroniques,Qualité des biens et services,Câblovision,Montréal
2026-07,10020-Vêtements  bijoux et accessoires,Mésentente liée au contrat conclu,Entreprises de vente directe//Autres services,Markham
2026-07,10110-Articles de loisirs,Pratique trompeuse ou déloyale,Installation de piscines privées//Autres types de commerce de détail,MIRABEL (QUÉBEC)
2026-07,18020-Cours de langue  leçons de conduite  cours relatifs aux sports  aux loisirs et autres passe-temps,Pratique trompeuse ou déloyale,NA,NA
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants sans permis d'alcool,Sorel-Tracy
2026-07,97000-Inconnu,Pratique trompeuse ou déloyale,Magasins à rayons//Autres types de commerce de détail,Laval
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants avec permis d'alcool,Saint-Eustache
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail d'appareils ménagers  de téléviseurs  de,Montréal
2026-07,10090-Articles électroniques,Qualité des biens et services,Commerce de détail de téléviseurs  de postes de radio et d'a,Vancouver
2026-07,10150-Pièces de rechange  accessoires et carburants pour moyens de transports,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Saint-Constant
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Parcs et garages de stationnement,Vimont
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros de camions et d'autobus,Saint-Pamphile
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,NA,NA
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres types de commerce de gros de matériaux de constructio//Quincailleries,Boucherville
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Industrie des petits appareils électroménagers//Ateliers de réparation d'appareils ménagers,MISSISSAUGA (ONTARIO)
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Saint-Eustache
2026-07,13030-Services de téléphonie mobile,Mésentente liée au contrat conclu,Revendeurs de services de télécommunications,Burnaby
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants avec permis d'alcool,Québec
2026-07,14030-Services d'infrastructures reliés au transport,Problème de facturation ou de recouvrement de créance,Parcs et garages de stationnement,Vimont
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Services de location d'automobiles et de camions,Montréal
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Concessionnaires d'automobiles d'occasion//Services de location d'automobiles et de camions,Montréal
2026-07,11030-Déménagement  entreposage et livraison,Service à la clientèle / Absence de livraison / Non conformité,Déménagement et entreposage de biens usagés//Services de messagers,Lasalle
2026-07,10010-Aliments/Boissons/Tabac,Mésentente avant l’achat liée au prix / au tarif,Magasins généraux//Exploitants de bâtiments non résidentiels,OTTAWA (ONTARIO)
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Autres ateliers de réparation de véhicules automobiles,Mont-Royal
2026-07,10090-Articles électroniques,Qualité des biens et services,Autres industries du matériel électronique et de communicati//Industrie des ordinateurs et de leurs unités périphériques,NA
2026-07,10150-Pièces de rechange  accessoires et carburants pour moyens de transports,Qualité des biens et services,Autres types de commerce de gros de pièces et accessoires po,Montréal
2026-07,15010-Hôtels et autres hébergements touristiques,Service à la clientèle / Absence de livraison / Non conformité,Agences de publicité,Terrebonne
2026-07,14040-Services de location d’un transport à court terme,Pratique trompeuse ou déloyale,Autres transports,Montréal
2026-07,10120-Automobiles neuves,Qualité des biens et services,Industrie des véhicules automobiles//Concessionnaires d'automobiles neuves,Vancouver
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Laval
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Autres services aux entreprises,Toronto
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Autre,Commerce de gros de camions et d'autobus//Autres types de commerce de gros de rebuts et matériaux de r,Louiseville
2026-07,12020-Crédit variable,Problème de facturation ou de recouvrement de créance,Sociétés de cartes de crédit,OTTAWA (ONTARIO)
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur//Installation d'équipements de réfrigération commerciale,LAVALTRIE
2026-07,12990-Autres services financiers (lequel?),Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10110-Articles de loisirs,Qualité des biens et services,Autres services relatifs à la construction//Autres types de commerce de détail,L'Assomption
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Garages (réparations générales),Gatineau
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Laval
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres services,Burlington
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Épiceries (sauf supermarchés)//Stations-service,Mirabel
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Industrie des véhicules automobiles//Autres types de commerce de détail,Halifax
2026-07,12120-Courtier en crédit  courtier en prêt  courtier hypothécaire,Problème de facturation ou de recouvrement de créance,Sociétés de prêts à la consommation//Sociétés de financement des ventes,Toronto
2026-07,10140-Autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de détail de véhicules de loisir//Autres ateliers de réparation de véhicules automobiles,Thetford Mines
2026-07,10150-Pièces de rechange  accessoires et carburants pour moyens de transports,Service à la clientèle / Absence de livraison / Non conformité,Industrie de la machinerie et du matériel de construction et//Travaux de peinture et de décoration,Saint-Eustache
2026-07,12020-Crédit variable,Problème de facturation ou de recouvrement de créance,Sociétés de prêts à la consommation//Sociétés de financement des ventes,Port Moody
2026-07,10150-Pièces de rechange  accessoires et carburants pour moyens de transports,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros de pneus et chambres à air,FREDERICTION (NOUVEAU BRUNSWICK)
2026-07,10090-Articles électroniques,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de jouets et d'articles de loisir,Sherbrooke
2026-07,10120-Automobiles neuves,Qualité des biens et services,Industrie des véhicules automobiles//Autres types de commerce de détail,Halifax
2026-07,15020-Voyages à forfait,Qualité des biens et services,Agences de voyages et de vente de billets,Trois-Rivières
2026-07,11040-Entretien ménager,Pratique trompeuse ou déloyale,Services de désinfection et d'extermination,Montréal
2026-07,13030-Services de téléphonie mobile,Qualité des biens et services,Autres types de commerce de gros de produits alimentaires//Supermarchés d'alimentation,TORONTO
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Vaudreuil-Dorion
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Magasins à rayons,ST. PURDY'S WHARF TOWER II
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Pratique trompeuse ou déloyale,Autres types de commerce de détail,Magog
2026-07,10060-Gros appareils ménagers,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur,Oka
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion//Lave-autos,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Installation de systèmes de chauffage par fluide caloporteur,Longueuil
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de bois et de matériaux de construction,Québec
2026-07,14010-Transport aérien,Service à la clientèle / Absence de livraison / Non conformité,Agences de voyages et de vente de billets,Montréal
2026-07,13030-Services de téléphonie mobile,Mésentente liée au contrat conclu,Autres services de télécommunications//Autres services aux entreprises,Vancouver
2026-07,10060-Gros appareils ménagers,Service à la clientèle / Absence de livraison / Non conformité,Magasins d'appareils ménagers  de téléviseurs et d'autres ap,Montréal
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Delson
2026-07,10110-Articles de loisirs,Qualité des biens et services,Autres industries de produits manufacturés//Autres types de commerce de détail,Lachute
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Garages (réparations générales),Trois-Rivières
2026-07,15040-Restaurants et bars,Mésentente liée au contrat conclu,Restaurants avec permis d'alcool,NA
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Québec
2026-07,10090-Articles électroniques,Mésentente liée au contrat conclu,Magasins à rayons,ST. PURDY'S WHARF TOWER II
2026-07,10080-Petits appareils électroménagers,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Autres ateliers de réparation de véhicules automobiles,NA
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Installation de systèmes de chauffage par fluide caloporteur,Boucherville
2026-07,10040-Meubles,Qualité des biens et services,Autres services,Mont-Saint-Grégoire
2026-07,13030-Services de téléphonie mobile,Pratique trompeuse ou déloyale,Câblovision,Montréal
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Saint-Jean-sur-Richelieu
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Garages (réparations générales),Notre-Dame-des-Prairies
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Organisations civiques et amicales,Mascouche
2026-07,97000-Inconnu,Pratique trompeuse ou déloyale,NA,NA
2026-07,10100-Articles des TIC (Technologies de l'information et de la communication),Pratique trompeuse ou déloyale,Câblovision,Montréal
2026-07,10080-Petits appareils électroménagers,Pratique trompeuse ou déloyale,Magasins à rayons,ST. PURDY'S WHARF TOWER II
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail d'appareils ménagers  de téléviseurs  de,Montréal
2026-07,10090-Articles électroniques,Qualité des biens et services,NA,NA
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Concessionnaires d'automobiles neuves,Saint-Bruno-de-Montarville
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Terrebonne
2026-07,12010-Prêt d'argent,Mésentente liée au contrat conclu,Sociétés de prêts à la consommation,Saint-Hubert
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves,Saint-Bruno-de-Montarville
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Montréal
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Autres travaux de finition à l'intérieur,Delson
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Service à la clientèle / Absence de livraison / Non conformité,Travaux de peinture et de décoration,L'Assomption
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Concessionnaires d'automobiles neuves,Québec
2026-07,10120-Automobiles neuves,Qualité des biens et services,Autres types de commerce de gros,MARKHAM (ONTARIO)
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Mirabel
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Drummondville
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion//Autres services,Saint-Eustache
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de détail,Québec
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres services,Burlington
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Montréal
2026-07,99000-Autres (précisez),Qualité des biens et services,Promotion et construction de maisons individuelles//Rénovation de bâtiments résidentiels,Gatineau
2026-07,12020-Crédit variable,Problème de facturation ou de recouvrement de créance,Caisses locales d'épargne et de crédit,Saint-Eustache
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Agents et courtiers (véhicules automobiles et pièces)//Concessionnaires d'automobiles d'occasion,Mirabel
2026-07,12050-Investissements et placements,Service à la clientèle / Absence de livraison / Non conformité,Sociétés d'investissement,Toronto
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,NA,NA
2026-07,18020-Cours de langue  leçons de conduite  cours relatifs aux sports  aux loisirs et autres passe-temps,Mésentente liée au contrat conclu,Enseignement de formation personnelle et populaire,Brossard
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Blainville
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros de matériel et fournitures de plomberie  de,Anjou
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur,MONT-ROYAL
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros de matériel et fournitures de plomberie  de,Boucherville
2026-07,10020-Vêtements  bijoux et accessoires,Mésentente liée au contrat conclu,Commerce de détail de pièces de monnaie et de timbres,Québec (Québec)
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de gros d'appareils ménagers électriques,Rigaud
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Autres ateliers de réparation de véhicules automobiles,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur,Laval
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Longueuil
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Mésentente liée au contrat conclu,Services de désinfection et d'extermination,Montréal
2026-07,10100-Articles des TIC (Technologies de l'information et de la communication),Qualité des biens et services,Autres industries du matériel électronique et de communicati//Industrie des ordinateurs et de leurs unités périphériques,NA
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Autres types de commerce de gros de produits alimentaires,Québec
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Rénovation de bâtiments résidentiels,Saint-Hubert
